DATE,PRICE,AMOUNT,LEVERAGE,ACTION,SIDE,PROFIT (USDT),ROE(%)
,35438.230000,0.015000,2,BUY,SHORT,0.000000,0.000000
,38198.340000,0.015000,2,SELL,SHORT,-41.401650,-15.577020
,38198.340000,0.015000,2,BUY,LONG,0.000000,0.000000
,35994.980000,0.015000,2,SELL,LONG,-33.050400,-11.536418
,35994.980000,0.015000,2,BUY,SHORT,0.000000,0.000000
,37168.820000,0.015000,2,SELL,SHORT,-17.607600,-6.522243
,37168.820000,0.015000,2,BUY,LONG,0.000000,0.000000
,35062.490000,0.015000,2,SELL,LONG,-31.594950,-11.333855
,35062.490000,0.015000,2,BUY,SHORT,0.000000,0.000000
,34458.310000,0.015000,2,SELL,SHORT,9.062700,3.446304
,34458.310000,0.015000,2,BUY,LONG,0.000000,0.000000
,31518.660000,0.015000,2,SELL,LONG,-44.094750,-17.062067
,31518.660000,0.015000,2,BUY,SHORT,0.000000,0.000000
,33733.580000,0.015000,2,SELL,SHORT,-33.223800,-14.054658
,33733.580000,0.015000,2,BUY,LONG,0.000000,0.000000
,51906.360000,0.015000,2,SELL,LONG,272.591700,107.742967
,51906.360000,0.015000,2,BUY,SHORT,0.000000,0.000000
,49587.030000,0.015000,2,SELL,SHORT,34.789950,8.936593
,49587.030000,0.015000,2,BUY,LONG,0.000000,0.000000
,47289.810000,0.015000,2,SELL,LONG,-34.458300,-9.265407
,47289.810000,0.015000,2,BUY,SHORT,0.000000,0.000000
,49551.440000,0.015000,2,SELL,SHORT,-33.924450,-9.564978
,49551.440000,0.015000,2,BUY,LONG,0.000000,0.000000
,55605.200000,0.015000,2,SELL,LONG,90.806400,24.434244
,55605.200000,0.015000,2,BUY,SHORT,0.000000,0.000000
,58712.330000,0.015000,2,SELL,SHORT,-46.606950,-11.175681
,58712.330000,0.015000,2,BUY,LONG,0.000000,0.000000
,56267.650000,0.015000,2,SELL,LONG,-36.670200,-8.327655
,56267.650000,0.015000,2,BUY,SHORT,0.000000,0.000000
,54961.850000,0.015000,2,SELL,SHORT,19.587000,4.641388
,54961.850000,0.015000,2,BUY,LONG,0.000000,0.000000
,57492.420000,0.015000,2,SELL,LONG,37.958550,9.208460
,57492.420000,0.015000,2,BUY,SHORT,0.000000,0.000000
,59129.990000,0.015000,2,SELL,SHORT,-24.563550,-5.696647
,59129.990000,0.015000,2,BUY,LONG,0.000000,0.000000
,57991.150000,0.015000,2,SELL,LONG,-17.082600,-3.851988
,57991.150000,0.015000,2,BUY,SHORT,0.000000,0.000000
,58527.190000,0.015000,2,SELL,SHORT,-8.040600,-1.848696
,58527.190000,0.015000,2,BUY,LONG,0.000000,0.000000
,61334.800000,0.015000,2,SELL,LONG,42.114150,9.594207
,61334.800000,0.015000,2,BUY,SHORT,0.000000,0.000000
,62372.270000,0.015000,2,SELL,SHORT,-15.562050,-3.382973
,62372.270000,0.015000,2,BUY,LONG,0.000000,0.000000
,60886.910000,0.015000,2,SELL,LONG,-22.280400,-4.762886
,60886.910000,0.015000,2,BUY,SHORT,0.000000,0.000000
,53571.120000,0.015000,2,SELL,SHORT,109.736850,24.030748
,53571.120000,0.015000,2,BUY,LONG,0.000000,0.000000
,53799.330000,0.015000,2,SELL,LONG,3.423150,0.851989
,53799.330000,0.015000,2,BUY,SHORT,0.000000,0.000000
,57436.110000,0.015000,2,SELL,SHORT,-54.551700,-13.519797
,57436.110000,0.015000,2,BUY,LONG,0.000000,0.000000
,55766.340000,0.015000,2,SELL,LONG,-25.046550,-5.814356
,55766.340000,0.015000,2,BUY,SHORT,0.000000,0.000000
,56464.740000,0.015000,2,SELL,SHORT,-10.476000,-2.504737
,56464.740000,0.015000,2,BUY,LONG,0.000000,0.000000
,55816.140000,0.015000,2,SELL,LONG,-9.729000,-2.297363
,55816.140000,0.015000,2,BUY,SHORT,0.000000,0.000000
,38324.720000,0.015000,2,SELL,SHORT,262.371300,62.675133
,38324.720000,0.015000,2,BUY,LONG,0.000000,0.000000
,35351.650000,0.015000,2,SELL,LONG,-44.596050,-15.515156
,35351.650000,0.015000,2,BUY,SHORT,0.000000,0.000000
,36704.990000,0.015000,2,SELL,SHORT,-20.300100,-7.656446
,36704.990000,0.015000,2,BUY,LONG,0.000000,0.000000
,35869.420000,0.015000,2,SELL,LONG,-12.533550,-4.552896
